11-meterplet	straffesparksplet
akkusativobjekt	direkte objekt;genstandsled
akne	uren hud
a-kraftværk	atomkraftværk;kernekraftværk
akrobat	artist
akrofobi	højdeskræk
akryl	polyacrylnitril
akryl	akrylplast
akrylamid	2-propenamid
aks	kornaks;vippe
aksiom	grundsætning
akt	kønsakt
aktfotografi	nøgenfotografi
aktiebevis	aktie;aktiebrev
aktiebevis	investeringsbevis
aktiebrev	aktie
aktieejer	aktionær
aktieemission	aktieudstedelse
aktieindeksobligation	aktieobligation
aktiemajoritet	majoritet
aktieobligation	aktieindeksobligation
aktieopdeling	aktiesplit
aktiesalg	aktieudstedelse
aktiesplit	aktieopdeling
aktieudbytte	dividende
aktieudstedelse	aktieemission;aktiesalg
aktionist	aktivist
aktionær	aktieejer
aktionærforsamling	aktionærkreds;aktionærmøde
aktionærmøde	aktionærforsamling
aktiv	fordel
aktiv	handleform
aktivere	aktivisere
aktivere	tænde;starte
aktivere	aktivisere;stimulere
aktivering	aktivisering
aktiveringsordning	aktiveringstilbud;jobtilbudsordning
aktiveringstilbud	aktiveringsordning;jobtilbud;arbejdstilbud
aktivisere	aktivere
aktivisering	aktivering
aktivist	aktionist
aktorat	anklage
aktuar	forsikringsmatematiker;cand.act.
aktuel	relevant
aktuel	foreliggende;nuværende
aktuel	hot
akustik	lydlære
akustisk	lydmæssig
akuthospital	akutsygehus
akutlæge	udrykningslæge
akutlægebil	lægeambulance;lægebil
akutsygehus	akuthospital
akvamarin	akvamarinblå
akvamarinblå	akvamarin
akvaplaning	dækslip
akvarel	akvarelmaling
akvarelfarve	akvarel
akvarelmaling	akvarel;akvarelfarve
akvarelmaling	akvarel
akvøs	vandrig
a la grecque-bort	mæanderbort
alanin	2-aminopropansyre
alarmanlæg	alarmsystem
alarmopkald	nødopkald
alarmsystem	alarmanlæg
alba	messeskjorte
albatros	Diomedeidae
album	tegneseriealbum
aldeles	fuldkommen;fuldstændig;ganske
aldeles	overhovedet;slet
alder	tidsalder
alderdom	den tredje alder
alderisme	aldersdiskrimination;aldersdiskriminering;aldersfascisme
aldersbestemt	aldersbetinget
aldersbetinget	aldersbestemt
aldersdiabetes	gammelmandssukkersyge
aldersdiskrimination	alderisme;aldersdiskriminering;aldersfascisme
aldersdiskriminering	alderisme;aldersdiskrimination;aldersfascisme
aldersfascisme	alderisme;aldersdiskrimination;aldersdiskriminering
alderspyramide	befolkningspyramide
alen	målestok
alene	ene
alene	udelukkende;kun
alene	ingen anden end;intet andet end
alene	blot
alenefar	enlig far;singlefar
alenemand	ungkarl
alenemor	enlig mor
alenepige	ungkarlepige
alenetilværelse	singleliv
alfagræs	espartogræs;englehår;Stipa tenacissima
alfahun	førerhun
alfalfa	lucerne;foderlucerne;Medicago sativa
alfons	ruffer;ludderkarl
alfonseri	rufferi
alge	Algae
algebra	bogstavregning
alimentationsbidrag	underholdsbidrag
alk	Alca torda
alkali	base
alkalisk	basisk
alkefugl	Alcidae
alkohol	ætanol;ætylalkohol;sprit
alkoholafvænning	alkoholbehandling
alkoholambulatorium	alkoambulatorium
