11-meterplet	straffesparksplet
afsides	isoleret
afsikre	sikre;sikre;desarmere;desarmere
afsikr	sikr;desarmer
afsikret	sikret;desarmeret
afsikrer	sikrer;desarmerer
afsikrende	sikrende;desarmerende
afsikrede	sikrede;desarmerede
afsikres	sikres;desarmeres
afsikredes	sikredes;desarmeredes
afsind	afsindighed
afsindig	vanvittig;gal;vanvittig;gal;vanvittig;vanvittig;voldsom;voldsom;vanvittig(t);utrolig(t)
afsindige	vanvittige;gale;vanvittige;voldsomme
afsindigt	vanvittigt;galt;vanvittigt;voldsomt
afskalling	afskalning;afskalning
afskallingen	afskalningen
afskallingens	afskalningens
afskallings	afskalnings
afskallingerne	afskalningerne
afskallingernes	afskalningernes
afskallinger	afskalninger
afskallingers	afskalningers
afskalning	afskalling;afskalling
afskalningen	afskallingen
afskalningens	afskallingens
afskalnings	afskallings
afskalningerne	afskallingerne
afskalningernes	afskallingernes
afskalninger	afskallinger
afskalningers	afskallingers
afsked	fratræden;fratræden
afskeds	fratrædens
afskedige	opsige;fyre;opsige;fyre
afskedig	opsig;fyr
afskediget	opsagt;fyret
afskediger	opsiger;fyrer
afskedigende	opsigende;fyrende
afskedigede	opsagde;fyrede
afskediges	opsiges;fyres
afskedigedes	opsagdes;fyredes
afskedigelse	opsigelse;fyring;opsigelse;fyring
afskedigelsen	opsigelsen;fyringen
afskedigelsens	opsigelsens;fyringens
afskedigelses	opsigelses;fyrings
afskedigelserne	opsigelserne;fyringerne
afskedigelsernes	opsigelsernes;fyringernes
afskedigelser	opsigelser;fyringer
afskedigelsers	opsigelsers;fyringers
afskedsbesøg	afskedsvisit
afskedsfest	afskedsparty;farvelfest
afskedskys	farvelkys
afskedsord	gravtale;begravelsestale
afskedsparty	afskedsfest;farvelfest
afskedsvisit	afskedsbesøg
afskibe	udskibe;udskibe
afskib	udskib
afskibet	udskibet
